"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","27.45","27.50","27.55","27.35","38.08M","-0.18%"
"18/08/2025","27.50","27.95","27.75","27.30","30.16M","-1.61%"
"15/08/2025","27.95","27.65","28.00","27.75","10.81M","1.08%"
"14/08/2025","27.65","27.60","28.00","27.60","46.41M","0.18%"
"13/08/2025","27.60","27.55","27.80","27.50","84.99M","0.18%"
"12/08/2025","27.55","27.60","27.75","27.50","61.09M","-0.54%"
"11/08/2025","27.70","27.60","27.70","27.50","28.76M","0.36%"
"08/08/2025","27.60","27.40","27.95","27.50","55.01M","0.73%"
"07/08/2025","27.40","27.50","27.65","27.40","49.75M","-0.36%"
"06/08/2025","27.50","27.35","27.85","27.30","56.24M","0.55%"
"05/08/2025","27.35","27.80","28.15","27.20","36.72M","-1.62%"
"04/08/2025","27.80","28.00","28.15","27.50","28.29M","-0.71%"
"01/08/2025","28.00","28.35","28.50","28.00","32.72M","0.36%"
"31/07/2025","27.90","28.00","28.20","27.90","43.29M","1.09%"
"30/07/2025","27.60","27.20","27.90","27.45","43.05M","1.47%"
"29/07/2025","27.20","27.30","27.80","27.05","36.81M","-0.37%"
"28/07/2025","27.30","27.70","28.95","27.30","29.06M","-1.44%"
"25/07/2025","27.70","28.50","28.50","27.50","42.42M","-2.81%"
"24/07/2025","28.50","28.50","28.95","28.35","65.00M","0.00%"
"23/07/2025","28.50","27.50","28.50","27.35","98.62M","3.64%"
"22/07/2025","27.50","26.50","27.60","26.30","102.88M","3.77%"
"21/07/2025","26.50","26.90","26.90","26.20","61.73M","-1.30%"
"18/07/2025","26.85","27.45","28.00","26.55","113.80M","-2.19%"
"17/07/2025","27.45","27.00","28.50","26.90","168.10M","2.43%"
"16/07/2025","26.80","24.90","26.95","25.15","124.64M","7.63%"
"14/07/2025","24.90","24.60","26.20","24.50","138.03M","0.40%"
"11/07/2025","24.80","23.45","24.90","23.20","172.92M","7.36%"
"10/07/2025","23.10","22.25","23.30","22.35","174.22M","3.82%"
"09/07/2025","22.25","22.10","22.45","22.20","83.04M","0.68%"
"08/07/2025","22.10","22.05","22.45","22.00","124.25M","0.23%"
"07/07/2025","22.05","22.50","22.60","22.00","42.02M","-2.00%"
"04/07/2025","22.50","22.50","23.00","22.50","43.63M","0.00%"
"03/07/2025","22.50","23.10","23.50","22.50","62.62M","-2.60%"
"02/07/2025","23.10","22.90","23.15","22.55","30.71M","0.87%"
"01/07/2025","22.90","22.10","23.00","22.00","19.77M","3.62%"
"30/06/2025","22.10","22.10","22.70","21.80","328.38M","0.00%"
"27/06/2025","22.10","22.65","22.30","22.10","56.02M","-2.43%"
"26/06/2025","22.65","23.10","23.25","22.00","76.19M","-1.95%"
"25/06/2025","23.10","22.80","23.35","22.80","48.59M","1.32%"
"24/06/2025","22.80","22.40","22.95","22.40","55.60M","1.79%"
"23/06/2025","22.40","21.90","22.40","22.15","37.93M","2.28%"
