"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.25K","0.00%"
"18/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.01K","0.00%"
"15/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.15K","0.00%"
"14/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.17K","0.00%"
"13/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","2.01K","0.00%"
"12/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.48K","0.00%"
"11/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.05K","0.00%"
"08/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","","0.00%"
"07/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.10K","0.00%"
"06/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.18K","0.00%"
"05/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","84.47K","0.00%"
"04/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.03K","0.00%"
"01/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.01K","0.00%"
"31/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.00K","0.00%"
"30/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.13K","0.00%"
"29/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.10K","0.00%"
"28/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.07K","0.00%"
"25/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.20K","0.00%"
"24/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.03K","0.00%"
"23/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","","0.00%"
"22/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.20K","0.00%"
"21/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.10K","0.00%"
"18/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.77K","0.00%"
"17/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.03K","0.00%"
"16/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.38K","0.00%"
"14/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.08K","0.00%"
"11/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.31K","0.00%"
"10/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.13K","0.00%"
"09/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.13K","0.00%"
"08/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.04K","0.00%"
"07/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","2.32K","0.00%"
"04/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","20.70K","0.00%"
"03/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.07K","0.00%"
"02/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","3.26K","0.00%"
"01/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.05K","0.00%"
"30/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.01K","0.00%"
"27/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.77K","0.00%"
"26/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.20K","0.00%"
"25/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.05K","0.00%"
"24/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.06K","0.00%"
"23/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.06K","0.00%"
"20/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.00K","0.00%"
"19/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","4.53K","0.00%"
"18/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.37K","-2.61%"
"17/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","1.10K","0.00%"
"16/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.11K","0.00%"
"13/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.07K","0.00%"
"11/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.11K","0.00%"
"10/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.59K","0.00%"
"07/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","","0.00%"
"05/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","","0.00%"
"04/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.17K","0.00%"
"03/06/2025","2,372.50","2,372.50","2,372.50","2,372.50","3.64K","0.00%"
