"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","64.00","62.50","64.00","63.00","3.79M","2.40%"
"18/08/2025","62.50","59.80","62.50","59.80","1.79M","4.52%"
"15/08/2025","59.80","59.80","59.80","59.80","228.94K","0.00%"
"14/08/2025","59.80","62.75","59.80","58.65","3.11M","-4.70%"
"13/08/2025","62.75","62.75","62.75","62.75","746.33K","0.00%"
"12/08/2025","62.75","62.75","62.75","62.75","982.66K","0.00%"
"11/08/2025","62.75","62.75","62.75","62.75","647.47K","0.00%"
"08/08/2025","62.75","63.00","62.75","59.00","2.23M","-0.40%"
"07/08/2025","63.00","63.00","63.00","63.00","958.06K","0.00%"
"06/08/2025","63.00","63.00","63.00","63.00","995.23K","0.00%"
"05/08/2025","63.00","68.00","63.40","62.50","4.53M","-7.35%"
"04/08/2025","68.00","68.00","68.00","68.00","2.36M","0.00%"
"01/08/2025","68.00","68.00","68.00","68.00","4.80M","0.00%"
"31/07/2025","68.00","68.00","68.00","68.00","2.97M","0.00%"
"30/07/2025","68.00","70.95","73.90","64.00","12.40M","-4.16%"
"29/07/2025","70.95","68.40","72.00","70.95","2.90M","3.73%"
"28/07/2025","68.40","68.55","68.40","66.00","4.46M","-0.22%"
"25/07/2025","68.55","68.55","68.55","68.55","2.94M","0.00%"
"24/07/2025","68.55","68.55","68.55","68.55","861.13K","0.00%"
"23/07/2025","68.55","68.55","68.55","68.55","3.27M","0.00%"
"22/07/2025","68.55","62.95","68.55","65.50","3.63M","8.90%"
"21/07/2025","62.95","62.95","62.95","62.95","1.62M","0.00%"
"18/07/2025","62.95","62.95","62.95","62.95","1.49M","0.00%"
"17/07/2025","62.95","59.65","65.00","59.40","7.54M","5.53%"
"16/07/2025","59.65","59.65","59.65","59.65","1.98M","0.00%"
"14/07/2025","59.65","60.50","59.65","56.10","2.96M","-1.40%"
"11/07/2025","60.50","55.00","60.50","56.00","5.80M","10.00%"
"10/07/2025","55.00","58.65","55.00","55.00","1.62M","-6.22%"
"09/07/2025","58.65","58.65","58.65","58.65","2.31M","0.00%"
"08/07/2025","58.65","53.35","58.65","53.55","9.09M","9.93%"
"07/07/2025","53.35","48.50","53.35","51.00","6.46M","10.00%"
"04/07/2025","48.50","48.30","48.50","48.50","2.06M","0.41%"
"03/07/2025","48.30","43.95","48.30","44.70","11.29M","9.90%"
"02/07/2025","43.95","42.50","43.95","42.65","3.21M","3.41%"
"01/07/2025","42.50","41.50","42.50","42.50","2.00M","2.41%"
"30/06/2025","41.50","41.00","42.00","41.00","8.70M","1.22%"
"27/06/2025","41.00","40.75","41.05","41.00","1.94M","0.61%"
