"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","95.00","97.00","97.00","95.00","6.29M","-2.06%"
"18/08/2025","97.00","97.70","97.00","96.70","10.78M","-0.72%"
"15/08/2025","97.70","97.20","97.70","97.00","20.67M","0.51%"
"14/08/2025","97.20","97.70","98.00","97.00","7.86M","-0.51%"
"13/08/2025","97.70","99.00","98.65","97.50","11.21M","-1.31%"
"12/08/2025","99.00","99.85","99.45","98.50","26.50M","-0.85%"
"11/08/2025","99.85","100.00","99.85","99.85","3.71M","-0.15%"
"08/08/2025","100.00","99.95","100.00","99.50","13.62M","0.05%"
"07/08/2025","99.95","99.40","99.95","99.50","29.21M","0.55%"
"06/08/2025","99.40","99.00","100.00","96.00","15.13M","0.40%"
"05/08/2025","99.00","100.00","101.50","99.00","39.04M","-1.00%"
"04/08/2025","100.00","99.50","102.00","100.00","27.39M","0.50%"
"01/08/2025","99.50","100.50","102.00","99.50","26.28M","-1.00%"
"31/07/2025","100.50","102.00","102.05","100.50","24.03M","-1.42%"
"30/07/2025","101.95","98.15","101.95","98.15","30.26M","4.03%"
"29/07/2025","98.00","94.10","98.90","94.30","26.84M","4.14%"
"28/07/2025","94.10","94.00","95.00","94.00","15.61M","0.11%"
"25/07/2025","94.00","94.10","94.20","93.90","28.71M","-0.11%"
"24/07/2025","94.10","94.00","95.00","93.60","10.47M","0.11%"
"23/07/2025","94.00","93.80","94.00","93.00","12.18M","0.21%"
"22/07/2025","93.80","94.50","102.00","93.70","32.75M","-0.74%"
"21/07/2025","94.50","95.05","94.50","93.55","21.86M","-0.58%"
"18/07/2025","95.05","93.05","95.55","94.90","33.89M","2.15%"
"17/07/2025","93.05","102.10","102.10","93.05","19.27M","-7.87%"
"16/07/2025","101.00","97.00","103.20","97.00","48.13M","7.62%"
"14/07/2025","93.85","94.10","97.85","93.80","20.19M","-0.27%"
"11/07/2025","94.10","90.50","95.00","92.20","21.32M","3.98%"
"10/07/2025","90.50","88.00","91.95","89.15","21.99M","2.84%"
"09/07/2025","88.00","85.95","90.00","86.80","18.23M","2.39%"
"08/07/2025","85.95","84.50","85.95","84.00","33.76M","1.72%"
"07/07/2025","84.50","83.20","86.65","83.30","12.06M","1.56%"
"04/07/2025","83.20","82.75","84.00","82.80","18.51M","0.54%"
"03/07/2025","82.75","80.50","83.20","80.50","40.64M","3.44%"
"02/07/2025","80.00","80.25","80.40","80.00","8.39M","-0.31%"
"01/07/2025","80.25","81.25","80.50","80.00","5.74M","-1.23%"
"30/06/2025","81.25","82.50","81.45","80.00","11.96M","-1.52%"
"27/06/2025","82.50","83.00","82.75","82.10","15.78M","-0.60%"
"26/06/2025","83.00","83.00","83.00","82.80","23.05M","0.00%"
"25/06/2025","83.00","83.60","83.40","82.50","20.96M","-0.72%"
"24/06/2025","83.60","83.55","83.95","83.30","12.83M","0.06%"
