"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","155.75","155.75","155.75","155.75","434.86K","0.00%"
"18/08/2025","155.75","155.75","155.75","155.75","213.21K","0.00%"
"15/08/2025","155.75","155.75","155.75","155.75","94.55K","0.00%"
"14/08/2025","155.75","155.75","155.75","155.75","183.63K","0.00%"
"13/08/2025","155.75","155.75","155.75","155.75","165.73K","0.00%"
"12/08/2025","155.75","155.75","155.75","155.75","151.42K","0.00%"
"11/08/2025","155.75","155.75","155.75","155.75","325.66K","0.00%"
"08/08/2025","155.75","141.60","155.75","155.75","1.48M","9.99%"
"07/08/2025","141.60","128.75","141.60","141.60","329.81K","9.98%"
"06/08/2025","128.75","117.05","128.75","128.75","191.23K","10.00%"
"05/08/2025","117.05","117.05","117.05","117.05","80.27K","0.00%"
"04/08/2025","117.05","117.05","117.05","117.05","76.46K","0.00%"
"01/08/2025","117.05","117.05","117.05","117.05","127.53K","0.00%"
"31/07/2025","117.05","106.45","117.05","117.05","13.30M","9.96%"
"30/07/2025","106.45","106.45","106.45","106.45","40.99K","0.00%"
"29/07/2025","106.45","106.45","106.45","106.45","42.21K","0.00%"
"28/07/2025","106.45","106.45","106.45","106.45","160.75K","0.00%"
"25/07/2025","106.45","106.45","106.45","106.45","55.55K","0.00%"
"24/07/2025","106.45","96.80","106.45","106.45","120.14K","9.97%"
"23/07/2025","96.80","96.80","96.80","96.80","134.72K","0.00%"
"22/07/2025","96.80","96.80","96.80","96.80","213.88K","0.00%"
"21/07/2025","96.80","96.80","96.80","96.80","97.43K","0.00%"
"18/07/2025","96.80","96.80","96.80","96.80","171.97K","0.00%"
"17/07/2025","96.80","96.80","96.80","96.80","154.69K","0.00%"
"16/07/2025","96.80","96.80","96.80","96.80","88.38K","0.00%"
"14/07/2025","96.80","96.80","96.80","96.80","245.12K","0.00%"
"11/07/2025","96.80","88.00","96.80","96.80","315.62K","10.00%"
"10/07/2025","88.00","88.00","88.00","88.00","138.24K","0.00%"
"09/07/2025","88.00","88.00","88.00","88.00","161.11K","0.00%"
"08/07/2025","88.00","88.00","88.00","88.00","361.91K","0.00%"
"07/07/2025","88.00","88.00","88.00","88.00","72.78K","0.00%"
"04/07/2025","88.00","88.00","88.00","88.00","84.32K","0.00%"
"03/07/2025","88.00","88.00","88.00","88.00","284.87K","0.00%"
"02/07/2025","88.00","88.00","88.00","88.00","84.20K","0.00%"
"01/07/2025","88.00","88.00","88.00","88.00","42.74K","0.00%"
"30/06/2025","88.00","88.00","88.00","88.00","174.73K","0.00%"
"27/06/2025","88.00","88.00","88.00","88.00","114.92K","0.00%"
"26/06/2025","88.00","90.00","88.00","88.00","855.19K","-2.22%"
"25/06/2025","90.00","90.00","90.00","90.00","166.74K","0.00%"
"24/06/2025","90.00","90.00","90.00","90.00","259.64K","0.00%"
"23/06/2025","90.00","90.00","90.00","90.00","191.67K","0.00%"
"20/06/2025","90.00","90.00","90.00","90.00","23.48K","0.00%"
"19/06/2025","90.00","90.00","90.00","90.00","299.60K","0.00%"
"18/06/2025","90.00","90.00","90.00","90.00","32.68K","0.00%"
"17/06/2025","90.00","90.00","90.00","90.00","37.31K","0.00%"
"16/06/2025","90.00","90.00","90.00","90.00","137.99K","0.00%"
"13/06/2025","90.00","90.00","90.00","90.00","222.37K","0.00%"
"11/06/2025","90.00","90.00","90.00","90.00","110.13K","0.00%"
"10/06/2025","90.00","90.00","90.00","90.00","309.36K","0.00%"
"05/06/2025","90.00","90.00","90.00","90.00","403.62K","0.00%"
"04/06/2025","90.00","90.00","90.00","90.00","283.45K","0.00%"
"03/06/2025","90.00","86.00","90.00","90.00","359.50K","4.65%"
"02/06/2025","86.00","86.00","86.00","86.00","106.34K","0.00%"
"30/05/2025","86.00","86.00","86.00","86.00","76.87K","0.00%"
"29/05/2025","86.00","86.00","86.00","86.00","17.35K","0.00%"
"28/05/2025","86.00","86.00","86.00","86.00","115.74K","0.00%"
"27/05/2025","86.00","86.00","86.00","86.00","73.46K","0.00%"
"26/05/2025","86.00","86.00","86.00","86.00","266.98K","0.00%"
"23/05/2025","86.00","86.00","86.00","86.00","180.40K","0.00%"
"22/05/2025","86.00","86.00","86.00","86.00","145.51K","0.00%"
"21/05/2025","86.00","86.00","86.00","86.00","57.68K","0.00%"
"20/05/2025","86.00","86.00","86.00","86.00","127.54K","0.00%"
"19/05/2025","86.00","80.00","86.00","85.00","679.83K","7.50%"
"16/05/2025","80.00","80.00","80.00","80.00","29.29K","0.00%"
"15/05/2025","80.00","80.00","80.00","80.00","97.49K","0.00%"
"14/05/2025","80.00","80.00","80.00","80.00","640.02K","0.00%"
"13/05/2025","80.00","80.00","80.00","80.00","81.61K","0.00%"
"12/05/2025","80.00","80.00","80.00","80.00","93.18K","0.00%"
"09/05/2025","80.00","80.00","80.00","80.00","35.78K","0.00%"
"08/05/2025","80.00","80.00","80.00","80.00","115.94K","0.00%"
"07/05/2025","80.00","80.00","80.00","80.00","218.14K","0.00%"
"06/05/2025","80.00","80.00","80.00","80.00","139.44K","0.00%"
"05/05/2025","80.00","80.00","80.00","80.00","239.79K","0.00%"
"02/05/2025","80.00","80.00","80.00","80.00","61.20K","0.00%"
"30/04/2025","80.00","80.00","80.00","80.00","42.71K","0.00%"
"29/04/2025","80.00","80.00","80.00","80.00","129.86K","0.00%"
"28/04/2025","80.00","80.00","80.00","80.00","75.53K","0.00%"
"25/04/2025","80.00","80.00","80.00","80.00","206.13K","0.00%"
"24/04/2025","80.00","80.00","80.00","80.00","58.92K","0.00%"
"23/04/2025","80.00","80.00","80.00","80.00","134.77K","0.00%"
"22/04/2025","80.00","80.00","80.00","80.00","112.11K","0.00%"
"17/04/2025","80.00","80.00","80.00","80.00","120.40K","0.00%"
"16/04/2025","80.00","80.00","80.00","80.00","104.99K","0.00%"
"15/04/2025","80.00","80.00","80.00","80.00","558.20K","0.00%"
"14/04/2025","80.00","80.00","80.00","80.00","155.34K","0.00%"
"11/04/2025","80.00","80.00","80.00","80.00","200.51K","0.00%"
"10/04/2025","80.00","80.00","80.00","80.00","540.80K","0.00%"
"09/04/2025","80.00","80.00","80.00","80.00","148.36K","0.00%"
"08/04/2025","80.00","80.00","80.00","80.00","215.43K","0.00%"
"07/04/2025","80.00","80.00","80.00","80.00","346.74K","0.00%"
"04/04/2025","80.00","80.00","80.00","80.00","287.55K","0.00%"
"03/04/2025","80.00","80.00","80.00","80.00","266.82K","0.00%"
"02/04/2025","80.00","80.00","80.00","80.00","158.47K","0.00%"
"28/03/2025","80.00","80.00","80.00","80.00","639.83K","0.00%"
"27/03/2025","80.00","80.00","80.00","80.00","1.90M","0.00%"
"26/03/2025","80.00","80.00","80.00","80.00","205.21K","0.00%"
"25/03/2025","80.00","80.00","80.00","80.00","480.98K","0.00%"
"24/03/2025","80.00","80.00","80.00","80.00","100.37K","0.00%"
"21/03/2025","80.00","80.00","80.00","80.00","271.03K","0.00%"
"20/03/2025","80.00","79.00","80.00","80.00","2.07M","1.27%"
"19/03/2025","79.00","79.00","79.00","79.00","84.60K","0.00%"
"18/03/2025","79.00","79.90","79.00","79.00","376.55K","-1.13%"
"17/03/2025","79.90","79.90","79.90","79.90","152.34K","0.00%"
"14/03/2025","79.90","79.90","79.90","79.90","93.59K","0.00%"
