"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","23.000","23.000","23.000","23.000","949.97K","0.00%"
"18/08/2025","23.000","22.700","23.000","23.000","2.20M","1.32%"
"15/08/2025","22.700","23.000","22.750","22.700","1.35M","-1.30%"
"14/08/2025","23.000","23.950","23.950","23.000","2.70M","-3.97%"
"13/08/2025","23.950","24.200","23.950","23.500","2.24M","-1.03%"
"12/08/2025","24.200","23.250","24.200","24.200","2.81M","4.09%"
"11/08/2025","23.250","24.800","23.400","23.250","2.87M","-6.25%"
"08/08/2025","24.800","26.500","24.800","24.000","3.39M","-6.42%"
"07/08/2025","26.500","26.500","26.500","26.500","2.06M","0.00%"
"06/08/2025","26.500","26.500","26.500","26.450","2.13M","0.00%"
"05/08/2025","26.500","24.500","26.500","24.500","3.44M","8.16%"
"04/08/2025","24.500","24.000","24.500","24.000","6.32M","2.08%"
"01/08/2025","24.000","24.500","24.000","22.100","7.86M","-2.04%"
"31/07/2025","24.500","25.050","24.600","24.500","6.09M","-2.20%"
"30/07/2025","25.050","27.000","27.000","24.750","13.78M","-7.22%"
"29/07/2025","27.000","27.000","27.400","26.550","6.59M","0.00%"
"28/07/2025","27.000","27.000","27.000","27.000","3.40M","0.00%"
"25/07/2025","27.000","27.000","28.400","26.600","5.42M","0.00%"
"24/07/2025","27.000","26.500","27.000","24.000","2.57M","1.89%"
"23/07/2025","26.500","26.250","27.300","26.500","1.50M","0.95%"
"22/07/2025","26.250","27.850","28.200","26.250","4.86M","-5.75%"
"21/07/2025","27.850","26.000","27.850","26.000","3.64M","7.12%"
"18/07/2025","26.000","26.050","28.450","25.100","4.61M","-0.19%"
"17/07/2025","26.050","27.600","26.150","26.000","5.24M","-5.62%"
"16/07/2025","27.600","28.500","28.550","27.600","6.83M","-3.16%"
"14/07/2025","28.500","29.850","30.000","28.500","7.01M","-4.52%"
"11/07/2025","29.850","27.500","30.200","26.950","8.30M","8.55%"
"10/07/2025","27.500","26.200","27.500","26.950","2.70M","4.96%"
