"Date","Price","Open","High","Low","Vol.","Change %"
"20/08/2025","95.00","97.40","95.00","95.00","8.14M","-2.46%"
"19/08/2025","97.40","100.00","98.00","97.40","1.18M","-2.60%"
"18/08/2025","100.00","111.10","100.00","100.00","6.81M","-9.99%"
"15/08/2025","111.10","111.10","111.10","111.10","130.54K","0.00%"
"14/08/2025","111.10","111.10","111.10","111.10","93.08K","0.00%"
"13/08/2025","111.10","111.10","111.10","111.10","339.45K","0.00%"
"12/08/2025","111.10","111.10","111.10","111.10","829.46K","0.00%"
"11/08/2025","111.10","101.00","111.10","111.00","15.60M","10.00%"
"08/08/2025","101.00","101.00","101.00","101.00","289.47K","0.00%"
"07/08/2025","101.00","101.00","101.00","101.00","356.80K","0.00%"
"06/08/2025","101.00","101.00","101.00","101.00","529.45K","0.00%"
"05/08/2025","101.00","101.00","103.00","101.00","10.64M","0.00%"
"04/08/2025","101.00","101.00","101.00","101.00","516.97K","0.00%"
"01/08/2025","101.00","101.00","101.00","101.00","277.08K","0.00%"
"31/07/2025","101.00","101.00","101.00","101.00","443.77K","0.00%"
"30/07/2025","101.00","101.00","101.00","101.00","95.93K","0.00%"
"29/07/2025","101.00","99.75","101.00","100.10","13.61M","1.25%"
"28/07/2025","99.75","99.75","99.75","99.75","335.14K","0.00%"
"25/07/2025","99.75","99.75","99.75","99.75","895.79K","0.00%"
"24/07/2025","99.75","99.50","99.75","99.75","1.29M","0.25%"
"23/07/2025","99.50","99.50","99.50","99.50","1.09M","0.00%"
"22/07/2025","99.50","99.50","99.50","99.50","929.82K","0.00%"
"21/07/2025","99.50","99.50","99.50","99.50","1.29M","0.00%"
"18/07/2025","99.50","99.50","99.50","99.45","5.74M","0.00%"
"17/07/2025","99.50","99.20","99.50","99.50","14.35M","0.30%"
"16/07/2025","99.20","90.45","99.40","99.20","1.71M","9.67%"
"14/07/2025","90.45","84.05","90.45","90.45","1.35M","7.61%"
"11/07/2025","84.05","84.05","84.05","84.05","845.68K","0.00%"
"10/07/2025","84.05","84.05","84.05","84.05","286.45K","0.00%"
"09/07/2025","84.05","84.05","84.05","84.05","288.42K","0.00%"
"08/07/2025","84.05","84.00","84.05","84.05","1.35M","0.06%"
"07/07/2025","84.00","84.00","84.00","84.00","141.34K","0.00%"
"04/07/2025","84.00","84.00","84.00","84.00","373.14K","0.00%"
"03/07/2025","84.00","83.00","84.00","83.00","1.60M","1.20%"
