"Date","Price","Open","High","Low","Vol.","Change %"
"26/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","10.64K","0.00%"
"25/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","12.35K","0.00%"
"22/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","181.87K","0.00%"
"21/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","72.67K","0.00%"
"20/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","133.70K","0.00%"
"19/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","36.55K","0.00%"
"18/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","48.25K","0.00%"
"15/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","77.82K","0.00%"
"14/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","30.62K","0.00%"
"13/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","292.58K","0.00%"
"12/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","117.68K","0.00%"
"11/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","21.95K","0.00%"
"08/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","20.36K","0.00%"
"07/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","22.06K","0.00%"
"06/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","111.05K","0.00%"
"05/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","23.24K","0.00%"
"04/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","16.19K","0.00%"
"01/08/2025","1,890.00","1,890.00","1,890.00","1,890.00","25.27K","0.00%"
"31/07/2025","1,890.00","1,890.00","1,890.00","1,890.00","58.64K","0.00%"
"30/07/2025","1,890.00","1,890.00","1,890.00","1,890.00","97.79K","0.00%"
"29/07/2025","1,890.00","1,890.00","1,890.00","1,890.00","37.41K","0.00%"
"28/07/2025","1,890.00","1,890.00","1,890.00","1,890.00","38.88K","0.00%"
"25/07/2025","1,890.00","1,890.00","1,890.00","1,890.00","215.51K","0.00%"
"24/07/2025","1,890.00","1,890.00","1,890.00","1,890.00","36.39K","0.00%"
"23/07/2025","1,890.00","1,850.00","1,890.00","1,890.00","204.78K","2.16%"
"22/07/2025","1,850.00","1,815.00","1,850.00","1,850.00","206.25K","1.93%"
"21/07/2025","1,815.00","1,800.00","1,815.00","1,815.00","140.15K","0.83%"
"18/07/2025","1,800.00","1,650.00","1,800.00","1,800.00","425.49K","9.09%"
"17/07/2025","1,650.00","1,650.00","1,650.00","1,650.00","127.47K","0.00%"
"16/07/2025","1,650.00","1,500.00","1,650.00","1,600.00","568.64K","10.00%"
"14/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","27.33K","0.00%"
"11/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","21.34K","0.00%"
"10/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","11.19K","0.00%"
"09/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","56.90K","0.00%"
"08/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","229.52K","0.00%"
"07/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","819.09K","0.00%"
"04/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","64.85K","0.00%"
"03/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","77.05K","0.00%"
"02/07/2025","1,500.00","1,500.00","1,500.00","1,500.00","13.12K","0.00%"
"01/07/2025","1,500.00","1,450.00","1,500.00","1,500.00","783.89K","3.45%"
"30/06/2025","1,450.00","1,450.00","1,450.00","1,450.00","1.14M","0.00%"
"27/06/2025","1,450.00","1,450.00","1,450.00","1,450.00","23.98K","0.00%"
"26/06/2025","1,450.00","1,450.00","1,450.00","1,450.00","45.83K","0.00%"
"25/06/2025","1,450.00","1,500.00","1,450.00","1,449.90","1.57M","-3.33%"
"24/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","255.08K","0.00%"
"23/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","11.35K","0.00%"
"20/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","38.57K","0.00%"
"19/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","4.08K","0.00%"
"18/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","18.35K","0.00%"
"17/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","42.53K","0.00%"
"16/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","8.30K","0.00%"
"13/06/2025","1,500.00","1,500.00","1,500.00","1,500.00","56.26K","0.00%"
"11/06/2025","1,500.00","1,590.50","1,500.00","1,500.00","451.62K","-5.69%"
"10/06/2025","1,590.50","1,590.50","1,590.50","1,590.50","69.11K","0.00%"
"05/06/2025","1,590.50","1,590.50","1,590.50","1,590.50","25.72K","0.00%"
"04/06/2025","1,590.50","1,590.50","1,590.50","1,590.50","20.48K","0.00%"
"03/06/2025","1,590.50","1,590.50","1,590.50","1,590.50","33.80K","0.00%"
"02/06/2025","1,590.50","1,590.50","1,590.50","1,590.50","28.34K","0.00%"
"30/05/2025","1,590.50","1,590.50","1,590.50","1,590.50","16.55K","0.00%"
"29/05/2025","1,590.50","1,590.50","1,590.50","1,590.50","23.88K","0.00%"
"28/05/2025","1,590.50","1,590.50","1,590.50","1,590.50","169.34K","0.00%"
