"Date","Price","Open","High","Low","Vol.","Change %"
"19/01/2026","40.85","40.60","40.95","40.50","4.57M","0.62%"
"16/01/2026","40.60","41.50","40.60","40.60","2.64M","-2.17%"
"15/01/2026","41.50","42.00","41.95","41.00","3.21M","-1.19%"
"14/01/2026","42.00","42.20","42.05","42.00","4.27M","-0.47%"
"13/01/2026","42.20","40.00","42.20","40.20","5.21M","5.50%"
"12/01/2026","40.00","40.10","40.25","40.00","4.77M","-0.25%"
"09/01/2026","40.10","40.75","40.75","40.10","4.56M","-1.60%"
"08/01/2026","40.75","40.70","41.00","40.00","6.71M","0.12%"
"07/01/2026","40.70","40.80","42.40","40.70","8.54M","-0.25%"
"06/01/2026","40.80","44.20","47.00","40.65","10.75M","-7.69%"
"05/01/2026","44.20","40.20","44.20","41.00","4.25M","9.95%"
"02/01/2026","40.20","40.20","40.20","40.20","1.34M","0.00%"
"31/12/2025","40.20","40.00","40.50","40.20","3.69M","0.50%"
"30/12/2025","40.00","38.05","40.10","38.85","5.77M","5.12%"
"29/12/2025","38.05","38.00","40.00","38.00","7.23M","0.13%"
"24/12/2025","38.00","37.90","38.15","37.65","4.64M","0.26%"
"23/12/2025","37.90","38.00","37.90","37.90","2.41M","-0.26%"
"22/12/2025","38.00","38.35","38.65","38.00","4.51M","0.00%"
"19/12/2025","38.00","38.00","38.00","38.00","1.26M","0.00%"
"18/12/2025","38.00","37.70","38.00","37.95","1.48M","0.80%"
"17/12/2025","37.70","38.00","37.70","37.50","1.69M","-0.79%"
"16/12/2025","38.00","38.50","38.40","37.20","4.21M","-1.30%"
"15/12/2025","38.50","38.80","38.80","38.50","2.42M","-0.77%"
"12/12/2025","38.80","39.35","39.00","38.80","2.41M","-1.40%"
"11/12/2025","39.35","39.35","39.50","39.35","1.77M","0.00%"
"10/12/2025","39.35","39.85","39.90","39.35","2.30M","-1.25%"
"09/12/2025","39.85","39.00","40.00","39.60","2.52M","2.18%"
"08/12/2025","39.00","39.00","39.50","39.00","3.28M","0.00%"
"05/12/2025","39.00","39.50","39.50","38.95","2.93M","-1.27%"
"04/12/2025","39.50","39.00","39.50","39.50","1.81M","1.28%"
"03/12/2025","39.00","39.00","39.00","39.00","816.76K","0.00%"
"02/12/2025","39.00","38.90","39.00","39.00","701.06K","0.26%"
"01/12/2025","38.90","38.85","39.00","38.90","2.39M","0.13%"
"28/11/2025","38.85","39.95","38.85","37.95","1.26M","-2.75%"
"27/11/2025","39.95","40.00","40.00","39.95","2.23M","-0.12%"
"26/11/2025","40.00","39.00","40.00","39.00","3.17M","2.56%"
"25/11/2025","39.00","40.00","40.00","39.00","6.06M","-2.50%"
"24/11/2025","40.00","40.00","40.00","39.00","7.64M","0.00%"
"21/11/2025","40.00","40.50","40.50","38.00","4.07M","-1.23%"
"20/11/2025","40.50","42.90","42.25","40.50","2.27M","-5.59%"
"19/11/2025","42.90","41.90","42.90","40.95","2.17M","2.39%"
"18/11/2025","41.90","42.15","41.90","40.00","3.11M","-0.59%"
"17/11/2025","42.15","43.15","42.15","42.15","2.74M","-2.32%"
"14/11/2025","43.15","43.55","43.20","41.05","2.87M","-0.92%"
"13/11/2025","43.55","39.60","43.55","42.75","5.38M","9.97%"
"12/11/2025","39.60","39.60","39.60","39.60","8.74M","10.00%"
"11/11/2025","36.00","40.00","40.20","36.00","6.58M","-10.00%"
"10/11/2025","40.00","40.00","40.50","40.00","5.95M","0.00%"
"07/11/2025","40.00","41.50","40.25","40.00","3.76M","-3.61%"
"06/11/2025","41.50","42.00","41.50","41.50","5.24M","-1.19%"
"05/11/2025","42.00","43.25","43.25","42.00","2.66M","-2.89%"
"04/11/2025","43.25","48.05","45.60","43.25","4.94M","-9.99%"
"03/11/2025","48.05","48.05","48.05","48.05","2.94M","0.00%"
"31/10/2025","48.05","48.00","51.40","45.80","32.10M","2.67%"
"30/10/2025","46.80","42.55","46.80","41.50","12.70M","9.99%"
"29/10/2025","42.55","42.55","42.55","42.55","3.47M","0.00%"
"28/10/2025","42.55","42.00","42.55","42.50","3.55M","1.31%"
"27/10/2025","42.00","42.95","42.95","42.00","4.34M","-2.21%"
"24/10/2025","42.95","42.10","44.00","42.50","4.44M","2.02%"
"23/10/2025","42.10","45.00","44.50","42.10","4.50M","-6.44%"
"22/10/2025","45.00","46.55","45.55","45.00","3.42M","-3.33%"
"21/10/2025","46.55","45.05","47.00","45.15","3.24M","3.33%"
"20/10/2025","45.05","44.00","45.50","44.00","3.41M","2.39%"
