"Date","Price","Open","High","Low","Vol.","Change %"
"19/01/2026","56.00","55.00","57.70","56.00","1.91M","1.82%"
"16/01/2026","55.00","53.00","55.50","54.65","6.28M","3.77%"
"15/01/2026","53.00","54.50","54.90","52.75","8.86M","-2.75%"
"14/01/2026","54.50","58.30","55.55","54.50","5.84M","-6.52%"
"13/01/2026","58.30","53.00","58.30","54.00","10.23M","10.00%"
"12/01/2026","53.00","51.50","53.00","53.00","2.38M","2.91%"
"09/01/2026","51.50","50.00","51.50","51.10","3.80M","3.00%"
"08/01/2026","50.00","49.00","50.00","49.50","4.66M","2.04%"
"07/01/2026","49.00","49.45","49.00","48.50","5.43M","-0.91%"
"06/01/2026","49.45","49.50","50.20","49.00","5.55M","-0.10%"
"05/01/2026","49.50","45.00","49.50","49.00","3.35M","10.00%"
"02/01/2026","45.00","44.35","45.00","45.00","1.02M","1.47%"
"31/12/2025","44.35","45.10","44.35","44.00","2.55M","-1.66%"
"30/12/2025","45.10","45.10","45.10","45.10","1.39M","0.00%"
"29/12/2025","45.10","47.10","47.00","45.10","3.39M","-4.25%"
"24/12/2025","47.10","47.00","47.95","46.95","3.31M","0.21%"
"23/12/2025","47.00","47.00","47.00","47.00","6.54M","0.00%"
"22/12/2025","47.00","47.00","47.40","47.00","3.00M","0.00%"
"19/12/2025","47.00","45.30","47.00","44.60","4.67M","3.75%"
