"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","96.59K","0.00%"
"18/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","7.07K","0.00%"
"15/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","76.53K","0.00%"
"14/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","98.37K","-1.30%"
"13/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","147.52K","0.00%"
"12/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","14.64K","0.00%"
"11/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","17.69K","0.00%"
"08/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","257.89K","0.00%"
"07/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","8.04K","0.00%"
"06/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","42.08K","0.00%"
"05/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","10.94K","0.00%"
"04/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","61.67K","0.00%"
"01/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","35.51K","0.00%"
"31/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","80.24K","0.00%"
"30/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","185.37K","0.00%"
"29/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","79.31K","0.00%"
"28/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","33.06K","0.00%"
"25/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","337.85K","0.00%"
"24/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","93.09K","0.00%"
"23/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","10.07K","0.00%"
"22/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","76.53K","0.00%"
"21/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","30.63K","0.00%"
"18/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","7.24K","0.00%"
"17/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","8.66K","0.00%"
"16/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","30.31K","0.00%"
"14/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","1.09M","0.00%"
"11/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","21.87K","0.00%"
"10/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","17.30K","0.00%"
"09/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","14.79K","0.00%"
"08/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","4.01K","0.00%"
"07/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","3.51K","0.00%"
"04/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","1.44K","0.00%"
"03/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","2.61M","0.00%"
"02/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","10.54K","0.00%"
"01/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","114.86K","0.00%"
"30/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","19.53K","0.00%"
"27/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","81.76K","0.00%"
"26/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","61.53K","0.00%"
