"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","7.800","8.050","8.450","7.700","18.54M","-3.11%"
"18/08/2025","8.050","7.500","8.100","7.850","26.91M","7.33%"
"15/08/2025","7.500","7.900","7.950","7.400","20.66M","-5.06%"
"14/08/2025","7.900","8.090","8.000","7.600","58.32M","-2.35%"
"13/08/2025","8.090","8.090","8.500","8.000","68.20M","0.00%"
"12/08/2025","8.090","8.250","8.150","8.000","97.83M","-1.94%"
"11/08/2025","8.250","8.200","8.450","8.050","120.20M","-1.20%"
"08/08/2025","8.350","7.800","8.350","8.000","115.27M","7.05%"
"07/08/2025","7.800","8.160","8.970","7.600","121.02M","-4.41%"
"06/08/2025","8.160","7.420","8.160","8.000","183.77M","9.97%"
"05/08/2025","7.420","6.800","7.420","6.800","10.86M","9.93%"
"04/08/2025","6.750","6.500","7.150","6.750","24.78M","3.85%"
"01/08/2025","6.500","7.000","7.110","6.500","58.37M","-7.14%"
"31/07/2025","7.000","6.980","7.000","6.750","17.50M","4.48%"
"30/07/2025","6.700","6.700","6.900","6.600","12.60M","0.00%"
"29/07/2025","6.700","6.650","6.980","6.700","6.28M","0.75%"
"28/07/2025","6.650","6.600","6.800","6.500","11.28M","0.76%"
"25/07/2025","6.600","6.400","6.650","6.400","20.38M","3.12%"
"24/07/2025","6.400","6.220","6.440","6.180","8.01M","2.89%"
"23/07/2025","6.220","6.220","6.450","6.200","13.37M","0.00%"
"22/07/2025","6.220","6.310","6.500","6.170","11.05M","-4.01%"
"21/07/2025","6.480","6.170","6.500","6.170","9.75M","5.02%"
"18/07/2025","6.170","6.450","6.500","6.170","10.30M","-4.34%"
"17/07/2025","6.450","6.390","6.500","6.390","25.40M","0.94%"
"16/07/2025","6.390","6.200","6.600","6.200","20.79M","3.06%"
"14/07/2025","6.200","6.160","6.720","6.160","36.64M","0.65%"
"11/07/2025","6.160","5.950","6.380","5.900","22.52M","6.21%"
"10/07/2025","5.800","5.550","5.950","5.550","10.55M","4.50%"
"09/07/2025","5.550","5.510","5.640","5.510","5.73M","0.73%"
"08/07/2025","5.510","5.610","5.610","5.500","6.19M","-1.78%"
"07/07/2025","5.610","5.600","5.690","5.600","3.21M","0.18%"
"04/07/2025","5.600","5.600","5.600","5.600","2.23M","0.00%"
"03/07/2025","5.600","5.600","5.900","5.600","6.15M","0.00%"
"02/07/2025","5.600","5.480","5.640","5.480","5.78M","-0.88%"
"01/07/2025","5.650","5.700","5.700","5.500","5.94M","-0.88%"
"30/06/2025","5.700","5.620","5.700","5.500","8.63M","1.42%"
"27/06/2025","5.620","5.600","5.800","5.620","3.27M","0.36%"
"26/06/2025","5.600","5.700","5.750","5.600","13.83M","-1.75%"
"25/06/2025","5.700","5.790","5.800","5.610","6.35M","-1.55%"
"24/06/2025","5.790","5.790","5.830","5.680","9.51M","0.00%"
"23/06/2025","5.790","5.600","5.890","5.600","4.45M","3.39%"
"20/06/2025","5.600","5.790","5.900","5.600","4.95M","-3.28%"
"19/06/2025","5.790","5.290","5.800","5.500","9.06M","9.45%"
"18/06/2025","5.290","5.010","5.290","5.010","6.24M","5.17%"
"17/06/2025","5.030","5.500","5.250","5.000","12.75M","-8.55%"
"16/06/2025","5.500","5.780","5.750","5.210","12.74M","-4.84%"
"13/06/2025","5.780","5.750","5.990","5.770","9.33M","0.52%"
"11/06/2025","5.750","5.800","6.000","5.750","11.25M","-0.86%"
"10/06/2025","5.800","5.650","5.980","5.690","17.20M","2.65%"
"05/06/2025","5.650","5.850","5.980","5.640","8.10M","-3.42%"
"04/06/2025","5.850","5.600","5.950","5.850","2.86M","4.46%"
"03/06/2025","5.600","5.600","5.900","5.600","6.69M","0.00%"
"02/06/2025","5.600","5.650","5.890","5.600","3.08M","-0.88%"
"30/05/2025","5.650","5.750","5.850","5.600","7.31M","-1.74%"
"29/05/2025","5.750","5.900","5.900","5.750","2.71M","-2.54%"
"28/05/2025","5.900","5.670","5.910","5.750","3.35M","4.06%"
"27/05/2025","5.670","6.000","6.000","5.670","7.27M","-3.08%"
"26/05/2025","5.850","5.950","6.000","5.850","4.36M","-1.68%"
"23/05/2025","5.950","5.950","6.000","5.910","5.10M","0.00%"
"22/05/2025","5.950","6.000","6.000","5.950","9.95M","-0.83%"
"21/05/2025","6.000","6.030","6.030","6.000","10.23M","-0.50%"
"20/05/2025","6.030","6.070","6.130","6.000","8.79M","-0.66%"
"19/05/2025","6.070","5.900","6.200","5.770","10.62M","2.88%"
"16/05/2025","5.900","5.800","6.200","5.900","6.65M","1.72%"
"15/05/2025","5.800","6.000","6.080","5.800","5.59M","-3.33%"
"14/05/2025","6.000","6.000","6.000","5.950","6.53M","0.00%"
"13/05/2025","6.000","5.700","6.120","5.550","11.28M","5.26%"
"12/05/2025","5.700","5.750","6.180","5.700","14.43M","-5.79%"
"09/05/2025","6.050","5.500","6.050","5.750","15.50M","10.00%"
"08/05/2025","5.500","5.500","5.600","5.500","4.32M","0.00%"
"07/05/2025","5.500","5.650","5.600","5.500","1.80M","-2.65%"
"06/05/2025","5.650","5.350","5.650","5.400","27.18M","5.61%"
"05/05/2025","5.350","5.500","5.470","5.300","5.45M","-2.73%"
"02/05/2025","5.500","5.400","5.500","4.860","6.12M","1.85%"
"30/04/2025","5.400","5.320","5.410","5.320","11.81M","1.50%"
"29/04/2025","5.320","5.230","5.320","5.100","3.84M","1.72%"
"28/04/2025","5.230","5.300","5.480","5.200","2.08M","-1.32%"
"25/04/2025","5.300","5.230","5.300","5.250","1.93M","1.34%"
"24/04/2025","5.230","5.090","5.250","5.230","2.89M","2.75%"
"23/04/2025","5.090","5.050","5.090","5.050","2.59M","0.79%"
"22/04/2025","5.050","5.300","5.300","5.050","2.68M","-4.72%"
"17/04/2025","5.300","5.230","5.300","5.150","3.84M","1.34%"
"16/04/2025","5.230","5.240","5.340","5.230","3.97M","-0.19%"
"15/04/2025","5.240","5.230","5.350","5.240","3.20M","0.19%"
"14/04/2025","5.230","5.200","5.230","5.230","3.41M","0.58%"
"11/04/2025","5.200","5.150","5.290","5.120","1.45M","0.97%"
"10/04/2025","5.150","5.150","5.150","5.100","3.01M","0.00%"
"09/04/2025","5.150","5.150","5.150","5.150","2.69M","0.00%"
"08/04/2025","5.150","4.820","5.200","4.340","7.26M","6.85%"
"07/04/2025","4.820","5.290","5.090","4.820","3.38M","-8.88%"
"04/04/2025","5.290","5.260","5.300","5.290","1.57M","0.57%"
"03/04/2025","5.260","5.100","5.300","5.250","2.02M","3.14%"
"02/04/2025","5.100","5.450","5.450","5.100","4.59M","-6.42%"
"28/03/2025","5.450","5.300","5.450","5.060","2.46M","2.83%"
"27/03/2025","5.300","5.500","5.500","5.280","9.04M","-3.64%"
"26/03/2025","5.500","5.350","5.500","5.310","3.70M","2.80%"
"25/03/2025","5.350","5.100","5.350","5.320","2.52M","4.90%"
"24/03/2025","5.100","5.310","5.600","5.020","9.33M","-3.95%"
