"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","640.00","640.00","640.00","640.00","67.80K","0.00%"
"18/08/2025","640.00","640.00","640.00","640.00","24.63K","0.00%"
"15/08/2025","640.00","640.00","640.00","640.00","88.50K","0.00%"
"14/08/2025","640.00","640.00","640.00","640.00","16.06K","0.00%"
"13/08/2025","640.00","640.00","640.00","640.00","8.46K","0.00%"
"12/08/2025","640.00","640.00","640.00","640.00","11.68K","0.00%"
"11/08/2025","640.00","640.00","640.00","640.00","97.50K","0.00%"
"08/08/2025","640.00","640.00","640.00","640.00","15.44K","0.00%"
"07/08/2025","640.00","640.00","640.00","640.00","36.77K","0.00%"
"06/08/2025","640.00","640.00","640.00","640.00","76.07K","0.00%"
"05/08/2025","640.00","640.00","640.00","640.00","63.72K","0.00%"
"04/08/2025","640.00","705.00","640.00","640.00","143.26K","-9.22%"
"01/08/2025","705.00","705.00","705.00","705.00","120.36K","0.00%"
"31/07/2025","705.00","705.00","705.00","705.00","216.41K","0.00%"
"30/07/2025","705.00","705.00","705.00","705.00","313.54K","0.00%"
"29/07/2025","705.00","705.00","705.00","705.00","93.44K","0.00%"
"28/07/2025","705.00","705.00","705.00","705.00","40.00K","0.00%"
"25/07/2025","705.00","705.00","705.00","705.00","20.21K","0.00%"
"24/07/2025","705.00","705.00","705.00","705.00","16.91K","0.00%"
"23/07/2025","705.00","705.00","705.00","705.00","12.97K","0.00%"
"22/07/2025","705.00","705.00","705.00","705.00","10.41K","0.00%"
"21/07/2025","705.00","705.00","705.00","705.00","135.41K","0.00%"
"18/07/2025","705.00","705.00","705.00","705.00","18.42K","0.00%"
"17/07/2025","705.00","705.00","705.00","705.00","83.01K","0.00%"
"16/07/2025","705.00","705.00","705.00","705.00","123.50K","0.00%"
"14/07/2025","705.00","705.00","705.00","705.00","30.13K","0.00%"
"11/07/2025","705.00","705.00","705.00","705.00","70.16K","0.00%"
"10/07/2025","705.00","705.00","705.00","705.00","95.63K","0.00%"
"09/07/2025","705.00","705.00","705.00","705.00","13.67K","0.00%"
"08/07/2025","705.00","705.00","705.00","705.00","42.99K","0.00%"
"07/07/2025","705.00","705.00","705.00","705.00","9.60K","0.00%"
"04/07/2025","705.00","705.00","705.00","705.00","19.94K","0.00%"
"03/07/2025","705.00","705.00","705.00","705.00","303.37K","0.00%"
"02/07/2025","705.00","705.00","705.00","705.00","95.33K","0.00%"
"01/07/2025","705.00","705.00","705.00","705.00","22.37K","0.00%"
"30/06/2025","705.00","705.00","705.00","705.00","24.20K","0.00%"
"27/06/2025","705.00","705.00","705.00","705.00","35.79K","0.00%"
"26/06/2025","705.00","705.00","705.00","705.00","121.15K","0.00%"
"25/06/2025","705.00","705.00","705.00","705.00","150.11K","0.00%"
"24/06/2025","705.00","705.00","705.00","705.00","239.93K","0.00%"
"23/06/2025","705.00","705.00","705.00","705.00","39.35K","0.00%"
"20/06/2025","705.00","705.00","705.00","705.00","276.86K","0.00%"
"19/06/2025","705.00","705.00","705.00","705.00","42.91K","0.00%"
"18/06/2025","705.00","705.00","705.00","705.00","17.28K","0.00%"
"17/06/2025","705.00","705.00","705.00","705.00","29.47K","0.00%"
"16/06/2025","705.00","705.00","705.00","705.00","36.61K","0.00%"
"13/06/2025","705.00","705.00","705.00","705.00","87.32K","0.00%"
"11/06/2025","705.00","705.00","705.00","705.00","21.37K","0.00%"
"10/06/2025","705.00","705.00","705.00","705.00","230.02K","0.00%"
"06/06/2025","705.00","705.00","705.00","705.00","","0.00%"
"05/06/2025","705.00","705.00","705.00","705.00","101.31K","0.00%"
"04/06/2025","705.00","705.00","705.00","705.00","39.17K","0.00%"
"03/06/2025","705.00","705.00","705.00","705.00","152.21K","0.00%"
"02/06/2025","705.00","705.00","705.00","705.00","39.31K","0.00%"
"30/05/2025","705.00","705.00","705.00","705.00","119.20K","0.00%"
"29/05/2025","705.00","705.00","705.00","705.00","470.50K","0.00%"
"28/05/2025","705.00","705.00","705.00","705.00","95.22K","0.00%"
"27/05/2025","705.00","705.00","705.00","705.00","134.41K","0.00%"
