"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","137.05","137.00","137.05","137.00","3.64M","0.04%"
"18/08/2025","137.00","138.00","137.00","136.00","4.23M","-0.72%"
"15/08/2025","138.00","138.00","138.00","137.20","5.07M","0.00%"
"14/08/2025","138.00","137.00","138.00","138.00","2.87M","0.73%"
"13/08/2025","137.00","140.00","140.00","137.00","2.28M","-2.14%"
"12/08/2025","140.00","132.00","140.00","131.40","4.16M","6.06%"
"11/08/2025","132.00","145.50","140.10","132.00","2.66M","-9.28%"
"08/08/2025","145.50","146.50","145.50","145.50","5.08M","-0.68%"
"07/08/2025","146.50","146.50","146.50","146.50","3.68M","0.00%"
"06/08/2025","146.50","146.50","146.50","146.50","5.48M","0.00%"
"05/08/2025","146.50","149.00","146.50","146.50","7.41M","-1.68%"
"04/08/2025","149.00","149.00","149.00","149.00","2.44M","0.00%"
"01/08/2025","149.00","149.00","149.00","149.00","9.23M","0.00%"
"31/07/2025","149.00","151.00","152.00","148.00","23.53M","-1.32%"
"30/07/2025","151.00","140.30","154.30","150.00","14.59M","7.63%"
"29/07/2025","140.30","129.00","141.90","127.00","9.03M","8.76%"
"28/07/2025","129.00","125.05","129.00","126.00","4.63M","3.16%"
"25/07/2025","125.05","122.50","126.00","124.00","5.85M","2.08%"
"24/07/2025","122.50","120.55","125.50","122.20","6.04M","1.62%"
"23/07/2025","120.55","126.00","126.00","120.55","8.33M","-4.33%"
"22/07/2025","126.00","127.60","127.60","124.70","30.53M","8.62%"
"21/07/2025","116.00","114.00","116.00","114.00","13.92M","1.75%"
"18/07/2025","114.00","114.00","116.00","114.00","3.22M","0.00%"
"17/07/2025","114.00","107.00","114.00","107.00","7.12M","6.54%"
"16/07/2025","107.00","106.00","108.90","105.50","14.92M","0.94%"
"14/07/2025","106.00","106.00","108.00","106.00","5.30M","0.00%"
"11/07/2025","106.00","99.00","106.00","99.95","6.88M","7.07%"
"10/07/2025","99.00","98.00","99.00","97.00","3.06M","1.02%"
"09/07/2025","98.00","92.50","98.30","95.20","4.93M","5.95%"
"08/07/2025","92.50","92.50","92.50","92.50","654.03K","0.00%"
"07/07/2025","92.50","92.50","92.50","92.50","1.40M","0.00%"
"04/07/2025","92.50","92.00","92.50","92.50","1.36M","0.54%"
"03/07/2025","92.00","90.15","92.00","91.95","2.06M","2.05%"
"02/07/2025","90.15","87.50","90.15","90.15","996.01K","3.03%"
"01/07/2025","87.50","87.20","87.50","87.20","980.22K","0.34%"
"30/06/2025","87.20","89.90","87.20","87.20","2.93M","-3.00%"
"27/06/2025","89.90","89.90","89.90","89.90","2.62M","0.00%"
"26/06/2025","89.90","90.00","89.90","89.90","538.16K","-0.11%"
"25/06/2025","90.00","93.85","90.25","86.00","2.37M","-4.10%"
"24/06/2025","93.85","86.00","93.85","86.00","7.49M","9.13%"
"23/06/2025","86.00","86.00","86.00","86.00","1.98M","0.00%"
"20/06/2025","86.00","86.00","86.95","85.55","7.35M","0.00%"
"19/06/2025","86.00","86.00","86.30","86.00","3.05M","0.00%"
"18/06/2025","86.00","86.95","86.05","86.00","1.41M","-1.09%"
"17/06/2025","86.95","86.00","86.95","86.00","3.94M","1.10%"
"16/06/2025","86.00","86.00","86.00","86.00","1.91M","0.00%"
"13/06/2025","86.00","86.00","86.00","85.95","5.16M","0.00%"
"11/06/2025","86.00","86.00","86.00","86.00","517.64K","0.00%"
"10/06/2025","86.00","86.00","86.00","86.00","1.57M","0.00%"
"05/06/2025","86.00","84.60","86.00","84.65","1.28M","1.65%"
"04/06/2025","84.60","84.65","84.70","84.60","2.22M","-0.06%"
"03/06/2025","84.65","85.25","84.70","84.65","2.15M","-0.70%"
"02/06/2025","85.25","85.25","85.25","85.25","2.04M","0.00%"
"30/05/2025","85.25","85.25","85.25","85.25","3.37M","0.00%"
"29/05/2025","85.25","85.25","85.25","85.25","527.11K","0.00%"
"28/05/2025","85.25","84.95","85.25","85.25","985.68K","0.35%"
"27/05/2025","84.95","82.40","84.95","84.95","1.39M","3.09%"
"26/05/2025","82.40","82.40","82.40","82.40","1.68M","0.00%"
"23/05/2025","82.40","79.00","82.40","80.00","1.09M","4.30%"
"22/05/2025","79.00","79.00","79.00","79.00","12.68M","0.00%"
"21/05/2025","79.00","79.75","79.00","79.00","1.96M","-0.94%"
"20/05/2025","79.75","79.75","79.75","79.75","1.48M","0.00%"
"19/05/2025","79.75","79.75","79.75","79.75","735.55K","0.00%"
"16/05/2025","79.75","78.25","79.75","79.75","1.36M","1.92%"
"15/05/2025","78.25","78.00","78.25","78.00","2.18M","0.32%"
"14/05/2025","78.00","77.95","78.75","77.95","2.56M","0.06%"
"13/05/2025","77.95","77.95","77.95","77.95","1.57M","0.00%"
"12/05/2025","77.95","77.95","77.95","77.95","1.81M","-4.88%"
"09/05/2025","81.95","82.95","81.95","81.35","2.79M","-1.21%"
"08/05/2025","82.95","82.95","82.95","82.95","2.81M","0.00%"
"07/05/2025","82.95","82.70","82.95","82.40","7.18M","0.30%"
"06/05/2025","82.70","82.70","82.70","82.70","2.72M","0.00%"
"05/05/2025","82.70","82.70","82.70","82.70","3.54M","0.00%"
"02/05/2025","82.70","82.70","82.70","82.70","1.67M","0.00%"
"30/04/2025","82.70","82.70","82.70","82.70","1.33M","0.00%"
"29/04/2025","82.70","82.70","82.70","82.70","1.05M","0.00%"
"28/04/2025","82.70","81.00","82.70","82.70","2.11M","2.10%"
"25/04/2025","81.00","84.50","84.50","79.00","7.45M","2.27%"
"24/04/2025","79.20","72.00","79.20","72.00","11.73M","10.00%"
"23/04/2025","72.00","72.00","72.00","71.00","4.91M","0.00%"
"22/04/2025","72.00","71.50","72.00","72.00","2.38M","0.70%"
"17/04/2025","71.50","71.50","71.50","71.50","281.46K","0.00%"
"16/04/2025","71.50","71.50","71.50","71.50","1.69M","0.00%"
"15/04/2025","71.50","71.50","71.50","71.50","5.41M","0.00%"
"14/04/2025","71.50","71.50","71.50","71.50","255.28K","0.00%"
"11/04/2025","71.50","71.75","71.50","69.40","1.61M","-0.35%"
"10/04/2025","71.75","71.75","71.75","71.75","531.50K","0.00%"
"09/04/2025","71.75","72.00","71.75","69.00","1.15M","-0.35%"
"08/04/2025","72.00","72.60","72.00","65.90","2.49M","-0.83%"
"07/04/2025","72.60","72.60","72.60","72.60","5.69M","0.00%"
"04/04/2025","72.60","72.60","72.60","72.60","5.35M","0.00%"
"03/04/2025","72.60","72.60","72.60","72.60","2.11M","0.00%"
"02/04/2025","72.60","72.60","72.60","72.60","363.57K","-1.63%"
"28/03/2025","73.80","73.80","73.80","73.80","1.46M","0.00%"
"27/03/2025","73.80","73.80","73.80","73.80","1.22M","0.00%"
"26/03/2025","73.80","73.80","73.80","73.80","499.14K","0.00%"
"25/03/2025","73.80","73.80","73.80","73.80","2.77M","0.00%"
"24/03/2025","73.80","73.80","73.80","73.80","2.31M","0.00%"
"21/03/2025","73.80","73.80","73.80","73.80","219.35K","0.00%"
"20/03/2025","73.80","73.80","73.80","73.80","815.15K","0.00%"
"19/03/2025","73.80","73.80","73.80","73.80","2.32M","0.00%"
"18/03/2025","73.80","73.80","73.80","73.80","1.48M","0.00%"
"17/03/2025","73.80","73.80","73.80","73.80","547.93K","0.00%"
"14/03/2025","73.80","74.00","73.80","71.25","1.84M","-0.27%"
"13/03/2025","74.00","74.00","74.00","72.00","2.54M","0.00%"
"12/03/2025","74.00","74.00","74.00","74.00","288.14K","0.00%"
"11/03/2025","74.00","74.00","74.00","74.00","371.19K","0.00%"
"10/03/2025","74.00","75.00","74.00","74.00","3.63M","-1.33%"
"07/03/2025","75.00","75.00","75.00","75.00","468.99K","0.00%"
"06/03/2025","75.00","75.00","75.00","75.00","4.62M","0.00%"
"05/03/2025","75.00","75.00","75.00","75.00","2.40M","0.00%"
"04/03/2025","75.00","75.00","75.00","75.00","3.76M","0.00%"
"03/03/2025","75.00","75.00","75.00","75.00","1.73M","0.00%"
"28/02/2025","75.00","75.00","75.00","72.50","4.18M","0.00%"
"27/02/2025","75.00","77.50","75.00","73.10","11.30M","-3.23%"
"26/02/2025","77.50","77.50","77.50","77.50","1.31M","0.00%"
"25/02/2025","77.50","77.60","77.60","77.50","2.44M","-0.13%"
"24/02/2025","77.60","78.00","77.60","76.00","5.67M","-0.51%"
"21/02/2025","78.00","77.40","78.00","77.35","6.19M","0.78%"
"20/02/2025","77.40","77.50","77.40","77.40","1.68M","-0.13%"
"19/02/2025","77.50","77.50","77.50","77.50","1.64M","0.00%"
"18/02/2025","77.50","78.55","78.50","77.50","2.27M","-1.34%"
"17/02/2025","78.55","77.90","78.55","78.55","4.91M","0.83%"
"14/02/2025","77.90","76.75","78.00","77.00","3.27M","1.50%"
"13/02/2025","76.75","76.75","76.75","76.00","3.81M","0.00%"
"12/02/2025","76.75","74.95","76.75","74.90","3.87M","2.40%"
"11/02/2025","74.95","74.95","74.95","74.95","912.07K","0.00%"
"10/02/2025","74.95","74.95","74.95","74.95","1.40M","0.00%"
"07/02/2025","74.95","70.90","74.95","71.00","6.86M","5.71%"
"06/02/2025","70.90","70.45","70.90","70.00","2.49M","0.35%"
