"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","67.05","72.30","71.80","67.05","12.78M","-7.26%"
"18/08/2025","72.30","72.40","73.00","71.80","13.67M","-0.14%"
"15/08/2025","72.40","72.00","72.40","71.05","13.81M","0.56%"
"14/08/2025","72.00","72.55","72.60","72.00","15.85M","-0.76%"
"13/08/2025","72.55","74.00","73.75","72.55","25.40M","-1.96%"
"12/08/2025","74.00","74.00","74.00","73.70","27.39M","0.00%"
"11/08/2025","74.00","74.65","74.65","73.85","16.05M","-0.87%"
"08/08/2025","74.65","74.70","74.70","73.10","28.81M","-0.07%"
"07/08/2025","74.70","74.40","74.70","73.15","38.33M","0.40%"
"06/08/2025","74.40","75.90","75.90","74.20","60.35M","-1.98%"
"05/08/2025","75.90","76.90","76.90","75.30","16.14M","-1.30%"
"04/08/2025","76.90","76.50","77.00","75.10","24.00M","0.52%"
"01/08/2025","76.50","76.50","77.10","76.10","38.61M","0.00%"
"31/07/2025","76.50","75.00","77.20","75.40","15.83M","2.00%"
"30/07/2025","75.00","73.00","75.95","72.10","20.58M","2.74%"
"29/07/2025","73.00","72.70","73.15","72.00","25.61M","0.41%"
"28/07/2025","72.70","74.00","74.00","72.00","31.03M","-1.76%"
"25/07/2025","74.00","73.20","75.40","72.00","16.96M","1.09%"
"24/07/2025","73.20","71.50","73.20","71.30","22.50M","2.38%"
"23/07/2025","71.50","70.75","72.00","70.75","10.36M","1.06%"
"22/07/2025","70.75","71.00","72.00","70.20","26.53M","-0.35%"
"21/07/2025","71.00","72.00","72.00","68.65","24.60M","-1.39%"
"18/07/2025","72.00","75.00","75.00","71.50","50.70M","-4.00%"
"17/07/2025","75.00","76.00","76.85","72.40","83.36M","-1.32%"
"16/07/2025","76.00","72.40","78.50","72.40","66.28M","6.29%"
"14/07/2025","71.50","69.70","72.00","69.75","43.88M","2.58%"
"11/07/2025","69.70","63.40","69.70","63.50","55.15M","9.94%"
"10/07/2025","63.40","59.00","63.40","58.15","32.53M","7.46%"
"09/07/2025","59.00","57.30","59.85","57.50","23.12M","2.97%"
"08/07/2025","57.30","57.55","57.50","57.10","17.13M","-0.43%"
"07/07/2025","57.55","57.50","57.80","55.10","24.73M","0.09%"
"04/07/2025","57.50","58.00","57.50","57.00","17.51M","-0.86%"
"03/07/2025","58.00","57.00","58.00","57.00","16.27M","1.75%"
"02/07/2025","57.00","56.05","57.00","55.35","17.39M","1.69%"
"01/07/2025","56.05","56.95","56.95","55.05","18.34M","-1.58%"
"30/06/2025","56.95","58.00","58.00","56.55","21.82M","-1.81%"
"27/06/2025","58.00","58.30","58.00","57.05","30.55M","-0.51%"
"26/06/2025","58.30","56.50","58.55","56.50","60.30M","0.52%"
"25/06/2025","58.00","53.00","58.10","53.00","60.62M","9.43%"
"24/06/2025","53.00","50.85","53.00","50.75","34.21M","4.23%"
"23/06/2025","50.85","49.90","51.00","49.90","46.26M","1.90%"
"20/06/2025","49.90","49.95","50.50","49.00","24.85M","-0.10%"
"19/06/2025","49.95","48.50","51.00","48.00","37.55M","2.99%"
"18/06/2025","48.50","46.95","49.50","46.95","149.92M","5.32%"
"17/06/2025","46.05","47.00","46.05","43.00","96.23M","-2.02%"
"16/06/2025","47.00","50.20","48.80","45.20","76.85M","-6.37%"
"13/06/2025","50.20","50.10","50.55","50.20","34.72M","0.20%"
"11/06/2025","50.10","50.30","50.50","49.95","28.67M","-0.40%"
"10/06/2025","50.30","50.75","51.50","50.05","49.33M","-0.89%"
"06/06/2025","50.75","48.80","50.75","50.75","","0.00%"
"05/06/2025","50.75","48.80","50.75","48.90","62.82M","4.00%"
"04/06/2025","48.80","48.60","48.95","48.70","12.84M","0.41%"
"03/06/2025","48.60","48.95","49.00","48.60","8.39M","-0.72%"
"02/06/2025","48.95","49.00","50.00","48.60","14.45M","-0.10%"
"30/05/2025","49.00","48.50","49.00","48.50","29.93M","1.03%"
"29/05/2025","48.50","48.45","48.60","48.30","27.70M","0.10%"
"28/05/2025","48.45","48.50","48.50","48.30","17.59M","-0.10%"
"27/05/2025","48.50","48.25","48.50","48.20","27.43M","0.52%"
"26/05/2025","48.25","47.40","48.50","47.60","17.94M","1.79%"
